IP,Port,HTTP Code,Response Duration,Error message
91.243.94.63,8085,0,10.000101,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
117.212.94.14,8080,0,10.000093,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
77.56.156.148,80,0,10.000066,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
68.177.71.125,39787,0,10.000083,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.94.248,8085,0,10.000094,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.89.2.65,34927,0,10.000154,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
185.132.133.187,8080,0,10.000047,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
186.226.179.2,56089,0,10.000168,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
185.252.215.167,8085,0,10.000058,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
37.44.255.123,8085,0,10.000046,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.67.212.91,8085,0,10.000047,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
189.3.226.180,36903,0,10.000056,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.34,8085,0,10.000163,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
200.127.61.133,8080,0,10.000097,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.149.140,8085,0,10.000037,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.89.2.65,34927,0,10.000162,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
91.203.240.210,80,0,10.000081,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
36.89.129.241,8080,0,10.000205,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.182.93,8085,0,10.000203,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
46.201.235.55,3128,0,10.000142,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.182.62,8085,0,10.000105,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.89.105,8085,0,10.000113,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.166.78.212,8085,0,10.000113,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.234.202.1,53281,0,10.000102,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.159,8085,0,10.000105,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.236.52.11,8085,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.130.108.142,53281,0,10.000100,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.67.13,8085,0,10.000061,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
217.61.15.193,80,0,10.000093,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
78.188.4.124,34514,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
146.185.204.53,8085,0,10.000103,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.234.202.1,53281,0,10.000111,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.139,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.70.84.213,42598,0,10.000158,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
112.133.218.84,8080,0,10.000061,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
118.98.223.101,443,0,10.000065,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.151.43,8085,0,10.000046,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
157.100.52.116,32652,0,10.000048,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.34.237.224,40410,0,10.000111,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.66.241,8085,0,10.000137,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
203.215.48.78,32064,0,10.000099,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
31.40.253.119,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.196.128.253,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.23.175,8085,0,10.000093,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
94.231.216.204,8085,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.40.208.220,8085,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
52.233.190.21,80,0,10.000068,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.92.232,8085,0,10.000106,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.105.101.142,5220,0,10.000086,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
78.188.4.124,34514,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.252.214.118,8085,0,10.000107,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.253.6.203,8085,0,10.000054,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
47.89.249.166,80,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.129,8085,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
186.64.121.235,3128,0,10.000102,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
37.44.255.155,8085,0,10.000098,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.149.83,8085,0,10.000090,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.166.78.212,8085,0,10.000082,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.92.57,8085,0,10.000100,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
178.159.107.225,8085,0,10.000079,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.94.63,8085,0,10.000103,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.236.52.58,8085,0,10.000040,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.22.167,8085,0,10.000071,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
118.173.232.43,53586,0,10.000158,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
85.208.85.142,8085,0,10.000098,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
180.183.54.117,8213,0,10.000057,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.66.42,8085,0,10.000065,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.149.140,8085,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
103.57.227.74,53281,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
78.94.24.6,8118,0,10.000073,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.252.215.89,8085,0,10.000116,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
110.74.219.3,32381,0,10.000071,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
195.154.255.110,8118,0,10.000041,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
5.9.232.179,3128,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.89.219,8085,0,10.000089,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.23.114,8085,0,10.000052,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.23.42,8085,0,10.000083,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.211.120,8085,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.89.219,8085,0,10.000076,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
181.112.188.38,34744,0,10.000127,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.85.44,8085,0,10.000067,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.150.169,8085,0,10.000081,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
157.100.52.116,32652,0,10.000045,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
176.31.69.183,8080,0,10.000092,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
212.22.162.202,80,0,10.000087,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.86.247,8085,0,10.000079,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.23.114,8085,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
193.56.72.86,8085,0,10.000109,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.34.237.224,40410,0,10.000075,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.6.7.55,80,0,10.000069,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
125.16.128.118,3128,0,10.000098,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.34,8085,0,10.000101,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
168.196.223.74,8080,0,10.000055,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
178.159.107.140,8085,0,10.000084,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.166.77.16,8085,0,10.000141,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.40.209.213,8085,0,10.000177,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
217.210.174.92,80,0,10.000131,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
176.107.110.112,80,0,10.000161,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
128.140.225.49,80,0,10.000146,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.209.149.83,8085,0,10.000159,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
193.56.72.86,8085,0,10.000126,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.166.78.136,8085,0,10.000242,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
193.56.64.163,8085,0,10.000128,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
138.97.152.42,8080,0,10.000122,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
195.154.255.110,8118,0,10.000173,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.40.253.24,8085,0,10.000134,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
105.235.203.122,55320,0,10.000130,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.67.214.45,8085,0,10.000146,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.94.248,8085,0,10.000120,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.67.113,8085,0,10.000132,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
171.97.189.141,8080,0,10.000111,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
95.47.116.184,60722,0,10.000126,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.211.184,8085,0,10.000177,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
131.196.143.222,33729,0,10.000170,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
146.185.204.53,8085,0,10.000134,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
103.215.211.38,8080,0,10.000119,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.40.253.119,8085,0,10.000122,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.86.171,8085,0,10.000166,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.65.130,8085,0,10.000123,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
45.67.214.45,8085,0,10.000118,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.94.196,8085,0,10.000079,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
103.209.80.18,53281,0,10.000135,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.66.172,8085,0,10.000081,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.132.133.208,8080,0,10.000105,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
117.102.85.162,57318,0,10.000123,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.23.234,8085,0,10.000124,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
191.7.195.122,61920,0,10.000108,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
187.19.62.7,59010,0,10.000153,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.86.59,8085,0,10.000158,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.94.220.230,8085,0,10.000078,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.253.7.14,8085,0,10.000132,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.182.62,8085,0,10.000096,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
